"Recall Number","Product Safety Warning Number",Date,"Product Safety Warning Date","Recall Heading","Name of product",Description,"Hazard Description","Consumer Action","Original Product Safety Warning Announcement","Remedy Type",Units,Incidents,Remedy,"Sold At Label","Sold At",Importers,Manufacturers,Distributors,"Manufactured In","Custom Label","Custom Field"
15-138,,"May 19, 2015",,"Precision Trading Recalls Espresso Makers Due to Risk of Burns","PREMIUM&#174; Espresso Makers","The cap at the top of the unit can crack and allow steam to escape, posing a risk of burns to the consumer. In addition, the cap can pop off unexpectedly as a result of pressure buildup.","The filler cap at the top of the unit can crack and allow steam to escape, posing a risk of burns to the user. In addition, the cap can pop off unexpectedly as a result of pressure buildup, posing a risk of injury to a bystander.",,,Replace,"About 4,700","The firm has received one report of a consumer who sustained burns to her arm when the cap unexpectedly released steam from the espresso maker.","Consumers should immediately stop using the recalled espresso makers and contact Precision Trading Corp. to request a free replacement cap.","Sold At","BrandMart U.S.A. and other retail stores in Florida and Puerto Rico between November 2014 and February 2015 for about $30.","Precision Trading Corp., of Miami, Fla.",,,China,,
15-099,,"March 17, 2015",,"CreaMiser Refrigerated Creamer Dispensers Recalled by WhiteWave Due to Fire Hazard","CreaMiser refrigerated creamer dispensers","A relay inside the creamer dispensers can overheat.","A relay inside the creamer dispensers can overheat, posing a fire hazard.",,,Repair,"About 5,600","There have been seven incidents with the recalled creamer dispensers, including two fires at repair facilities and five units that had melted digital thermometers. No injuries have been reported.","Owners should immediately unplug the recalled creamer dispensers, remove them from service and contact CreaMiser for a free repair.","Sold At","Distributors nationwide to convenience stores, quick-serve restaurants, hospital and workplace cafeterias, college food service facilities and hotels and motels from January 2001 through November 2003 for about $990 for the two dispenser models and about $1,235 for the four dispenser models.",,"CreaMiser Products Corp., of Phoenix, Ariz., now owned by WhiteWave Foods, of Broomfield, Colo.",,"United States",,
15-084,,"February 24, 2015",,"Kenmore Electric Ranges Recalled by Electrolux Due to Electrical Shock Hazard","Sears Kenmore 24-inch electric ranges","The heating element can fail to properly adhere to the cooktop.","The heating element can fail to properly adhere to the cooktop, posing an electrical shock hazard to consumers.",,,Repair,"About 3,000","None reported","Consumers should immediately stop using and unplug the recalled electric ranges and contact Transform for Kenmore brand products to schedule a free inspection and repair if necessary.","Sold At","Sears and Kmart stores nationwide from April 2014 through October 2014 for between $650 and $860.",,"Electrolux, of Canada",,Canada,,
15-054,,"December 23, 2014",,"Keurig Recalls MINI Plus Brewing Systems Due to Burn Hazard","Keurig&#174; MINI Plus Brewing Systems","Water can overheat during brewing, spray out and burn consumers.","Water can overheat during brewing, spray out and burn consumers.",,,Repair,"About 6.6 million in the U.S. and 564,000 Canada","Keurig has received about 200 reports of hot liquid escaping from the brewer, including 90 reports of burn-related injuries.","Consumers should contact Keurig for a free repair. While waiting for a free repair, consumers can contact Keurig about steps to avoid a burn injury.&nbsp;","Sold At","Kmart, Kohl's, Target, Walmart and other retailers nationwide, and online at www.keurig.com,&nbsp; www.greenmountaincoffee.com and www.keurig.ca from December 2009 through December 2014 for about $100.",,,,"China, Malaysia",,
14-745,,"August 21, 2014",,"WilliamsRDM Recalls StoveTop FireStop Microhood Due to Safety Hazard (Recall Alert)","The StoveTop FireStop&#174; Microhood&#153; Fire Suppressors","The Microhood's front canister can fall from the unit and fail to suppress the fire.","The Microhood front canister can fall from the unit and fail to suppress the fire.",,,Repair,"About 103,000","None reported","Contact WilliamsRDM for a free inspection kit which includes instructions and a tool for performing an on-site inspection and repair of the units. Alternately, units can be shipped back to WilliamsRDM for a free inspection/repair. Firm is contacting consumers directly.","Sold At","HD Supply,Wilmar Industries, Louisville Fire &amp; Safety and other contractor supply companies from June 2009 to August 2014 for about $80.",,,,USA,,
14-238,,"July 24, 2014",,"Recalled Products Sold by Best Buy and Liquidators After Recall Date","Canon EOS Rebel T4i Digital Cameras, Coby Televisions, Definitive Technology SuperCube 2000 Subwoofers, GE Dishwashers, Gree Dehumidifiers, iSi North America Twist'n Sparkle Beverage Carbonation Systems, LG Electronics Electric Ranges,","Hazards can include fire, burn, shock, expelled parts, falls and skin irritation depending on the product.","Hazards can include fire, burn, shock, expelled parts, falls and skin irritation depending on the product.",,,,,,,,,,,,,,
14-193,,"May 28, 2014",,"Hamilton Beach Recalls Baby Food Makers Due to Small Parts Hazard","Baby food processor","The stainless steel pin in food bowl lids of bébé brand food makers can loosen and fall into processed food.","Use of the slicing/shredding disc with the motor shaft adapter can cause the stainless steel pin in the food bowl lid to loosen and fall into processed food.",,,Replace,"About 790 in the U.S. and about 3,100 in Canada","Hamilton Beach has received four reports of the stainless steel pin in the food bowl lid becoming loose, including three in which the pin fell into processed food. There have been no reports of injuries or property damage.","Consumers should immediately stop using the slicing/shredding disc and contact Hamilton Beach to receive a free replacement food bowl lid, motor shaft adapter and slicing/shredding disc. Consumers may continue to use the baby food maker for steaming, chopping and pureeing.","Sold At","Buy Buy Baby stores nationwide, through specialty distributor Victor Co. Inc. and online at Buybuybaby.com, Hamiltonbeach.com and Walmart.com from September 2013 through February 2014 for about $90.",,,,China,,
14-106,,"February 18, 2014",,"LEM Products Distribution Expands Recall Including Previously-Repaired 5-Tray Food Dehydrators Due to Shock Hazard","5-Tray Dehydrators with Digital Timers","Damaged wiring can come into contact with a metal bracket in the food dehydrators. Electrical shorts, sparks reported.","Damaged wiring in the food dehydrators can come into contact with a metal bracket inside the machine, posing a shock hazard.",,,Repair,"About 3,000 in the U.S and 24 in Canada. This product was previously recalled in May 2013 for a fire hazard.","LEM Products has received nine reports of electrical shorts, including one report of sparks causing minor damage to the surrounding countertop and carpet. No injuries have been reported.","Consumers should immediately stop using the dehydrators and contact LEM Products Distribution for instructions on free shipping and repair of the recalled product.","Sold At","Buchheit, Gander Mountain, Rural King, Sportsman's Warehouse and Theisen Supply stores and other mass merchandisers and retailers nationwide and online at www.lemproducts.com from June 2011 through December 2013 for between $125 and $160.&nbsp;&nbsp;",,,,China,,
14-092,,"January 28, 2014",,"Bodum USA Recalls Coffee Presses Sold Exclusively at Starbucks Due to Laceration and Burn Hazards","Bodum&#174; rose gold glass coffee presses","The glass carafe can fall out of the metal frame and plastic base of the coffee press and break or shatter.","The glass carafe can fall out of the metal frame and plastic base of the coffee press and break or shatter, posing laceration and burn hazards to consumers.",,,Refund,"About 28,000","Bodum has received about 14 reports of the glass carafes breaking or shattering when the coffee press' plastic base separated from the metal frame. There have been four reports of minor injuries, including two lacerations and two burns.","Consumers should stop using the recalled coffee presses immediately and return them to the Starbucks store where purchased or contact Bodum for a full refund. Consumers who purchased the coffee presses online should contact Bodum for a pre-paid return label to return the coffee presses to receive a full refund.","Sold Exclusively At","Starbucks nationwide and online at starbucks.com from November 2013 through December 2013 for about $40.",,,,Portugal,,
14-029,,"November 21, 2013",,"Cuisinart Recalls Food Processors Due to Laceration Hazard","Cuisinart 7-cup food processors","The reversible slicing/shredding disc can loosen and the blade can strike and break the food processor's cover. The cover's broken plastic pieces can hit consumers.","The reversible slicing/shredding disc can loosen when in use and the blade can strike and break the food processor's cover. The cover's broken plastic pieces can hit consumers, posing a laceration hazard.",,,Replace,"About 25,000","Cuisinart has received one report of an incident involving a consumer being struck on the cheek by a piece of the food processor's plastic cover that cracked off while the reversible slicing disc was being used. No medical attention was sought.  ","Consumers should immediately stop using the recalled food processors and contact Cuisinart to receive a free replacement lid and reversible slicing/shredding disc.&nbsp;","Sold At","Belk, Best Buy, Dillards, J.C. Penney, Macy's, Sears, Williams-Sonoma and other stores nationwide, and online at Amazon.com and Zappos.com from October 2012 through June 2013 for about $100.",,,,China,,
14-023,,"November 19, 2013",,"Viking Recalls Built-In Side-by-Side Refrigerator Freezers with In-Door Dispensers Due to Fire Hazard","Viking built-in side-by-side refrigerator freezers with in-door dispensers","An electrical component in 42-inch and 48-inch models refrigerator freezers made between can overheat.","Electrical connectors in the refrigerator freezer wiring harness can overheat, posing a fire hazard.",,,Repair,"About 750","Viking has received 27 reports of electrical shorts and four fires. No injuries have been reported.","Consumers should immediately turn off and unplug the recalled refrigerator freezers and contact Viking to schedule a free, in-home repair.","Sold At","Appliance and specialty stores nationwide from November 2012 through May 2013 for between $5,400 and $6,400.",,,,"United States",,
14-012,,"October 31, 2013",,"Calphalon Recalls Blenders Due to Injury Hazard",Blenders,"A piece of the 9-speed blender's mixing blade assembly can break off during use.","A piece of the blender's mixing blade unit can break off during use, posing an injury hazard.",,,Repair,"About 22,000 in the United States and 400 in Canada","Calphalon has received four reports of a piece of the blender's mixing blade breaking off. No injuries have been reported. ","Consumers should immediately stop using the recalled blender and contact Calphalon for a free repair kit.","Sold At","Bed Bath &amp; Beyond, Kohl's, JCPenney, Macy's and other major retail stores nationwide and online at Calphalon.com, Amazon.com, Cooking.com, and Zappos.com, among others, from September 2012 through September 2013 for about $130.",,,,China,,
13-288,,"September 19, 2013",,"Frigidaire Recalls Professional Blenders Due to Laceration Hazard","Frigidaire Professional blenders","The blade shaft assembly can break on the 5-speed blenders that have 56-ounce glass jars.","The blender's blade shaft assembly can break during use, posing a laceration hazard to consumers.",,,"Dispose, No Remedy Available","About 14,000","Frigidaire has received eight reports of the blender's blade shaft assembly breaking. No injuries have been reported.
 ","Frigidaire is no longer selling blenders and the recall remedy is no longer available.","Sold At","Best Buy, Target and other stores nationwide and online at amazon.com, bedbath.com and other online retailers from March 2012 through July 2013 for about $130.",,,,China,,
13-287,,"September 17, 2013",,"Waterlogic Recalls Water Cooling, Heating Systems Due to Fire Hazard","Chiller-based water dispensers","The hot water tank in AquaMark, Coolersmart, Culligan, Innowave, Waterlogic and Xstream Water-brand water dispensers can overheat and smoke or catch fire.","The hot water tank can stop functioning and cause the machine to overheat, posing a fire hazard.",,,Repair,"About 48,000","Waterlogic received 16 reports of fire and smoke within the water dispensers. No injuries or property damage have been reported.","Waterlogic is contacting its distributors and providing a list of affected units and all technical instructions and necessary parts for repairing the units. Consumers who have not been contacted by their distributer for a free repair should contact Waterlogic.","Sold At","Distributors and dealers, including AquaPure Water Systems, Culligan, CWC, Farmer Brothers, Filterfresh, First Choice Services and others selling water and coffee systems nationwide from January 2005 to December 2008 for approximately $500 to $1500.&nbsp; The units are sold to dealers and leased to consumers.",,,,China,,
13-273,,"August 28, 2013",,"Vitamix Recalls 64-Ounce Low Profile Blender Container Due to Laceration Hazard","Vitamix 64-ounce Low-Profile Container","The blender blade can break in the 64-ounce container.","The blade can break, creating a laceration hazard to consumers.",,,Repair,"About 165,000 in the United States and an additional 4,300 in Canada","Vitamix has received 18 reports of blades breaking.  No injuries have been reported.","Consumers should stop using the recalled container immediately and contact Vitamix for instructions on how to send back the container (without the lid or any accessories) to the firm for a free repair.&nbsp;&nbsp;","Sold At","Major retailers nationwide and online at vitamix.com from April 2012 to August 2013 for about $529 to $749 with different model base or $149 for the container alone.&nbsp; Products were also sold through show demonstrators, who demonstrate products at retail outlets, consumer shows, fairs and other venues.&nbsp;&nbsp;",,,,"United States",,
13-267,,"August 15, 2013",,"Applica Consumer Products Reannounces Black & Decker Spacemaker Coffeemaker Recall Due to Injury Hazard; Units Sold After Recall","Black &amp; Decker&#174; Spacemaker&#153; 12-Cup Programmable Under-the-Cabinet Coffeemakers","Reannouncing Black &amp; Decker Spacemaker 12-cup coffeemaker recall. More than 1,600 reports of handles breaking. #burns w/link","The coffee pot handle can break, causing cuts and burns to the consumer.",,,Refund,"About 641; (159,000 units were recalled in June 2012)","The firm has received more than 1,607 reports of handles breaking, including more than 83 reports of burns and/or cuts.  ","Consumers should immediately stop using the coffeemakers and contact Applica for a full refund of the under-the-counter coffeemaker.&nbsp;","Sold At","True Value Hardware Stores nationwide from July 2008 to June 2013 for about $50 to $80.&nbsp;",,,,China,,
13-748,,"August 14, 2013",,"LTD Commodities Recalls Microwave Crisper Pans Due to Fire Hazard (Recall Alert)","Microwave Crisper Pan with Lid","This recall involves microwave crisper pans. The carbon steel pan is sold with a glass lid that has a white ceramic knob on top. The non-stick pan has bottom grooves and a silicone base. Catalog number MUP or 4040011017 is printed on the outside of the box, near the UPC bar code 707569068464. Shipments made after July 2013 include a label on the knob that reads ""inspected"" and are not included in this recall.","The metal washer used to secure the knob to the lid can spark, posing a fire hazard to consumers.",,,Repair,"About 18,220","The firm has received 16 reports of incidents including sparks, flames, shattered or exploding glass lids. ","Consumers should immediately stop using the recalled crisper pan and contact LTD Commodities for a free repair. Known consumers were notified directly about the recall.&nbsp;","Sold At","LTD Commodities, ABC Distributing and The Lakeside Collection catalogs and online at www.ltdcommodities.com, www.abcdistributing.com, and www.lakeside.com between June 2013 and July 2013 for about $10.",,,,China,,
13-248,,"July 25, 2013",,"Viking Range Expands Recall of Built-In Refrigerators with Bottom Freezers Due to Injury Hazard; Doors Can Detach","Viking built-in refrigerators with bottom freezers","The refrigerator door can fall off and injure consumers.","The refrigerator's doors can detach, posing an injury hazard to consumers.",,,Repair,"About 31,000 (Viking refrigerators were previously recalled in 2009)","Viking has received 39 reports of falling refrigerator doors, including 12 reports of injuries involving a fracture, bruises, strains and cuts, and 25 reports of minor property damage. The 39 new reports are in addition to 57 reports in the previous recall of doors detaching, including four reports of injuries involving bruises, broken toes/fingers, and strains.","Consumers should contact Viking immediately to schedule a free in-home repair. Consumers should stop using the recalled refrigerators if the door does not appear to be sealed properly, the door is sagging or it fails to open or close normally. If the door is working properly, consumers can continue to use the refrigerator until it has been repaired.","Sold At","Appliance and specialty stores nationwide from November 2005 through October 2012 for between $5,100 and $7,700.",,,,"United States",,
13-193,,"May 16, 2013",,"Avon Recalls Microwave Popcorn Maker Due to Burn and Fire Hazards; New Instructions Provided","Microwave Popcorn Makers","When cooked too long, the popcorn can overheat in the plastic popcorn maker and ignite.","When cooked too long, the popcorn can overheat in this popcorn maker and ignite, posing a fire or burn hazard to consumers.",,,"New Instructions","About 54,700","Avon has received 20 reports of the popcorn makers overheating, including two incidents involving fires that resulted in damage to microwave ovens. No injuries have been reported.","Consumers should stop using the popcorn maker immediately and contact Avon to receive a copy of the updated instructions on how to safely use the microwave popcorn maker. The new instructions can also be obtained from independent Avon representatives and on Avon's website under the Product Recall section.&nbsp;","Sold At","Through independent Avon sales representatives and online at www.avon.com from October 2012 through February 2013, for about $13.&nbsp;",,,,Taiwan,,
13-182,,"May 02, 2013",,"LEM Products Distribution Recalls 5-Tray Food Dehydrators Due to Fire Hazard","5-Tray Dehydrator with Digital Timer","The fan in the 5-tray food dehydrator can fail and cause the product to overheat and catch fire.","The fan can fail causing the unit to overheat and pose a fire hazard.",,,Repair,"About 14,600 in the U.S, and 100 in Canada. This product was previously recalled in February 2011.","LEM Products Distribution has received two reports of fan failure both  resulting in fire in the units.  In one incident the consumer was close by and prevented a fire by carrying the unit outside. There were no injuries reported.","Consumers should immediately stop using the dehydrator and contact LEM Products Distribution for instructions on free shipping and repair of the recalled product. LEM is offering a one year warranty extension and a $10 discount coupon, which can be used towards a LEM catalog or online purchase, to all consumers who return their recalled units for repair.","Sold At","Bass Pro Shops, Gander Mountain, Sportsman's Warehouse and other mass merchandisers and retailers nationwide and online at Amazon.com and www.lemproducts.com from August 2010 through February 2013 for about $160.",,,,China,,
13-160,,"April 02, 2013",,"Haier America Expands Recall of Chest Freezers Due to Fire Hazard","Chest Freezers","Fires causing substantial property damage have been reported with Haier and Black &amp; Decker brand chest freezers.","A capacitor in the freezer's circuitry can overheat, posing a fire hazard.",,,Repair,"About 41,000, 67,500 additional freezers were recalled in November 2010","In addition to the 18 incidents reported in the November 2010 recall, which included four reports of fires with minor property damage, Haier America and CPSC have received 27 additional incident reports. This includes three fires that caused substantial property damage. There have been no reports of injuries.  ","Consumers should immediately unplug their freezer and contact the company to schedule an appointment for a free repair to the freezer.","Sold At","Haier model HNCM070E was sold by regional and local retailers nationwide and online at Amazon.com, Walmart.com and other online retailers from September 2009 through October 2011 for between $180 to $200. Haier model ESNCM053E was sold primarily on Amazon.com and other online retailers from February 2010 through March 2013 for between $200 to $290. &nbsp;The Black &amp; Decker model BFE53 was sold exclusively at Walmart nationwide and at Walmart.com from September 2009 through September 2010, for about $150.",,,,China,,
13-132,,"March 06, 2013",,"The Pampered Chef Recalls Garlic Slicers Due to Laceration Hazard","Garlic Slicers","&nbsp; The blade on the garlic slicers can detach during use. Pampered Chef has received 23 reports of blades that have dislodged. &nbsp;","A blade on the garlic slicer can unexpectedly dislodge during use, posing a laceration hazard to the consumer.",,,Replace,"About 286,000","The Pampered Chef has received 23 reports of blades detaching during use including one report of a consumer who cut her finger.","Consumers should immediately stop using the recalled garlic slicers and contact The Pampered Chef for a replacement product.","Sold At","The Pampered Chef independent consultants nationwide and online at www.pamperedchef.com from January 2009 through July 2011 for about $14 for the individual garlic slicer and $20 for the set.",,,,China,,
13-127,,"February 27, 2013",,"Jerdon Style Recalls One-Cup Coffeemakers Due to Burn and Fire Hazards","One-cup Coffeemakers","The Jerdon Style CM12B one-cup coffeemaker can overheat.","The coffeemaker can overheat, posing fire and burn hazards to consumers.",,,Refund,"About 6,000","Jerdon Style has received four reports of coffee makers overheating. No injuries have been reported.","Consumers should immediately stop using and unplug the recalled coffee makers and contact Jerdon Style for instructions on how to receive a full refund.","Sold At","Hotel/motel product suppliers and major online retailers from July 2012 to January 2013 for between $15 and $26.",,,,China,,
13-117,,"February 07, 2013",,"BlueStar Wall Ovens Recalled by Prizer Painter Stove Works Due to Fire Hazard","BlueStar&#153; residential gas wall ovens","&nbsp; Some of the wall ovens have been improperly installed and/or have damaged flexible gas applicance connectors. One fire reported. &nbsp;","Some of the wall ovens have been improperly installed and/or have damaged flexible gas appliance connectors, posing a fire hazard.",,,Repair,"About 940","The firm has received one report of a fire, resulting in property damage to the cabinet that held the oven. No injuries have been reported.","Consumers should immediately stop using the recalled ovens, contact BlueStar for instructions on identifying affected units and to schedule a repair.","Sold At","Appliance stores and authorized kitchen equipment dealers nationwide between January 2008 through November 2012 for between $2,250 and $3,900.",,,,"United States",,
13-031,,"November 07, 2012",,"LG Electronics Recalls Electric Ranges Due to Burn and Fire Hazards","LG Electric Ranges","LG has received 80 reports of burners that failed to turn off or temperature settings that increased unexpectedly.","Burners on the electric ranges can fail to turn off after being switched off and the temperature setting can increase unexpectedly during use, posing burn and fire hazards to consumers.",,,Repair,"About 161,000","LG has received 80 reports of incidents involving burners failing to turn off or the temperature setting increasing unexpectedly during use. No fires or injuries have been reported.","Consumers should immediately contact LG to schedule a free in-home repair. Consumers whose burner heat setting cannot be regulated by using the controls or who experience problems with a cooktop burner remaining on, should immediately stop using the recalled electric range until it is repaired.","Sold At","Best Buy, Home Depot, Sears, and regional appliance retailers nationwide from January 2006 to June 2010 for between $800 and $1999.",,,,"South Korea and Mexico",,
12263,,"August 29, 2012",,"Mr. Coffee Single Cup Brewers Recalled by JCS Due to Burn Hazard","Mr. Coffee&#174; Single Cup Brewing System","The brewing chamber on KG1 coffeemaker models can unexpectedly open and expel hot water and coffee grounds while user is making coffee. Burn injuries have been reported.","A build-up of steam in the water reservoir can force the brewing chamber open and expel hot coffee grounds and water, posing a burn hazard.",,,Replace,"520,000 in the United States and 80,700 in Canada","JCS has received 164 reports of the brewing chamber opening due to steam pressure, including approximately 59 reports in the U.S. and two in Canada of burn injuries to consumers' face, upper torso and hands.","&nbsp;Consumers should immediately stop using the recalled coffee brewer and contact JCS to receive instructions on how to obtain a free replacement unit.","Sold At","Mass merchandisers nationwide, including Bed Bath &amp; Beyond, Brandsmart, JC Penney, Kmart, Lowe's, Target and Walmart, and online at www.mrcoffee.com from September 2010 through August 2012 for between $60 and $80.","Sunbeam Products Inc. d/b/a Jarden Consumer Solutions (""JCS""), of Boca Raton, Fla.",,,China,,
12-217,,"July 04, 2012",,"iSi North America Recalls Twist'n Sparkle Beverage Carbonation System Due to Explosion Hazard","Twist'n Sparkle Home Beverage Carbonation System plastic bottles.","The pressure from the carbonation system can cause the plastic bottle to explode and send plastic parts flying into the air.","The plastic bottles can explode under pressure, expelling plastic parts, resulting in an injury hazard to anyone nearby.",,,Refund,"About 162,700","The firm is aware of nine incidents involving exploding plastic bottles including three in which consumers received cuts to various parts of their upper body.","Consumers should immediately stop using the recalled products and either contact iSi or the place of purchase for instructions on returning the product for a refund or store credit. For products purchased online, contact the online retailers for instructions on how to ship the returns and receive a refund or credit. Note that the US Postal Service does not accept CO2 gas chargers for shipment by mail.","Sold At","Williams-Sonoma, QVC and other national retailers and websites from June 2010 to March 2012 for approximately $50 for the Starter Set and $30 for the Bottle Set.",,,,"Austria and Hungary",,
12737,,"June 19, 2012",,"Frigidaire Gas Range Recalled Due to Fire Hazard, Sold Exclusively at Lowe's Stores","Frigidaire Self-Clean Gas Range","When it is turned on, the oven's bake/broil ignition can delay starting. This poses a fire hazard","There can be a delayed ignition on the bake/broil features of the oven, posing a fire hazard.",,,Repair,"About 185","One incident was reported. No injuries or damage have been reported.","Consumers with the recalled model and serial numbers should stop using the bake and broil functions immediately and contact Frigidaire. Frigidaire will provide information about an inspection and arrange for a free in-home service and repair if necessary.","Sold Exclusively At","Lowe's stores from February 2012 through March 2012 for between $800 and $1,000.",,"Frigidaire, of Charlotte, N.C.",,"United States",,
12-195,,"June 06, 2012",,"California Innovations Expands Recall of Freezer Gel Packs Due to Ingestion Hazard","Ice/Hot and Ice Gel Packs","If the freezer packs become damaged, they can leak a gel that could cause illness if ingested in large amounts.","If the packs become damaged, they can leak gel that could contain diethylene glycol and ethylene glycol, which can cause illness if ingested in large amounts.",,,Refund,"About 880,000 (about 248,000 units associated with lunch boxes and 55,000 associated with food carriers were previously recalled in January 2012)","There have been no new reports of incidents or injuries.","Consumers should immediately stop using the gel packs and dispose of them according to federal, state and/or local regulations. It is recommended that consumers contact their local waste disposal authority for instructions. Consumers can contact California Innovations to receive a $6 cash refund for large (8.5-inch x 8-inch) Cryofreeze gel packs or a $5 cash refund for all other gel packs.","Sold At","Mass merchandise and warehouse stores, other retailers, distributors and on-line sellers nationwide between July 2007 and December 2008 in items that retailed between $5 and $28.",,,,China,,
12-191,,"May 31, 2012",,"Black & Decker Coffeemakers Recalled by Applica Consumer Products Due to Injury Hazard","Black & Decker&#174; Spacemaker&#153; 12-Cup Programmable Under-the-Cabinet Coffeemakers","The firm has received more than 1,200 reports of handles breaking; 68 reports of burns or cuts. Coffeemaker is 12-cup Spacemaker.","The coffee pot handle can break, causing cuts and burns to the consumer.",,,Refund,"About 159,000","The firm has received 1,276 reports of handles breaking, including 68 reports of burns and/or cuts.","Consumers should immediately stop using the coffeemakers and contact Applica for a full refund of the entire under-the-counter coffeemaker.","Sold At","Major retailers nationwide from July 2008 through May 2012 for about $50-80.",,,"Applica Consumer Products Inc. of Miramar, Fla.",China,,
89-030,,"May 24, 2012",,"Fire Hazard: Hot Water, Coffee Makers Are Recalled By Rowenta",,,,,,,,,,,,,,,,,
12-187,,"May 23, 2012",,"Select Brands Recalls Kitchen Selectives Blender Due to Laceration Hazard","Kitchen Selectives&#174; 6-Speed Blender","The plastic pitcher on the 6-speed blender can separate from the blade assembly. This exposes rotating blades and poses a laceration hazard to consumers.","While in operation, the plastic pitcher can separate from the blade assembly, leaving the blade assembly in the base and exposing the rotating blades. This poses a laceration hazard to consumers.",,,Refund,"About 4,069","Select Brands has received no reports of incidents or injuries involving Kitchen Selectives® 6-speed blenders.","Consumers should immediately stop using the blenders and return them to the retailer where purchased to receive a full refund.","Sold At","Midwest retail stores Pamida and Sutherlands from June 2009 to April 2012 for about $20.","Select Brands Inc., of Lenexa, Kan.","Select Brands, of Lenexa, Kan.",,China,,
12147,,"April 09, 2012",,"Viking Range Recalls Dishwashers Due to Fire Hazard","Viking dishwashers","The U.S. Consumer Product Safety Commission, in cooperation with the firm named below, today announced a voluntary recall of the following consumer product. Consumers should stop using recalled products immediately unless otherwise instructed. It is illegal to resell or attempt to resell a recalled consumer product.","An electrical component in the dishwasher can overheat, posing a fire hazard.",,,Repair,"About 2,000","Viking has received 21 reports of incidents, including five reports of property damage from fires. No injuries have been reported.","Consumers should immediately stop using the recalled dishwashers and contact Viking's hotline for a free in-home repair.","Sold At","Appliance and specialty retail stores nationwide from June 2010 through March 2012 for between $1,425 and $2,000.",,"Viking Range Corporation of Greenwood, Miss.",,"United States",,
12106,,"February 08, 2012",,"Tassimo Single-Cup Coffee Makers Recalled by BSH Home Appliances Due to Burn Hazard","Tassimo Single-Cup Brewers","The U.S. Consumer Product Safety Commission and Health Canada, in cooperation with the firm named below, today announced a voluntary recall of the following consumer product. Consumers should stop using recalled products immediately unless otherwise instructed. It is illegal to resell or attempt to resell a recalled consumer product.","The plastic disc, or T Disc, that holds the coffee or tea can burst and spray hot liquid and coffee grounds or tea leaves onto consumers using the brewer and onto bystanders, posing a burn hazard.",,,Replace,"About 835,000 in the United States and an additional 900,000 in Canada","There have been 140 reports of incidents with the brewers spraying hot liquid, coffee grounds or tea leaves onto consumers, including 37 reports of second-degree burn injuries. One incident involved a 10-year-old girl from Minnesota who received second-degree burns to her face and neck and had to be hospitalized.","Consumers should immediately stop using the recalled Tassimo brewers and contact the firm to order a free replacement T Disc holder for the brewing mechanism.","Sold At","Department, mass merchandise and home improvement stores nationwide and on various websites, including www.tassimodirect.com, from June 2008 through February 2012 for between $100 and $250. The Tassimo Professional model was sold directly to hotels and food service providers and they are being contacted directly.",,"BSH Home Appliances Corp., of Irvine, Calif.",,"Slovenia and China",,
12107,,"February 08, 2012",,"Tassimo Espresso T Discs Recalled by Kraft Foods Due to Burn Hazard","Tassimo espresso T Discs","The U.S. Consumer Product Safety Commission and Health Canada, in cooperation with the firm named below, today announced a voluntary recall of the following consumer product. Consumers should stop using recalled products immediately unless otherwise instructed. It is illegal to resell or attempt to resell a recalled consumer product.","The recalled espresso T Discs can become clogged and spray hot liquid and coffee grounds onto consumers and bystanders during or after brewing, posing a burn hazard.",,,Refund,"About 2.1 million packages in the United States and an additional 1.9 million in Canada","There have been 21 reports of incidents of hot liquid and/or coffee grounds spraying onto consumers and bystanders, including four reports of second-degree burn injuries. One injury involved 2-year-old girl from Canada who received second-degree burns to her face.","Consumers should stop using the recalled espresso T Discs immediately and contact the firm for a full refund.","Sold At","Department, mass merchandise, home improvement and other stores nationwide and on various websites, including www.tassimodirect.com, from August 2011 through February 2012 for between $8 and $11 per package.",,"Kraft Foods Global Inc., of Northfield, Ill.",,"United States",,
12090,,"January 22, 2012",,"Food Carriers Recalled by California Innovations Due to Freezer Gel Pack Ingestion Hazard","Travelin' Chef Expandable Thermal Food Carrier","The U.S. Consumer Product Safety Commission, in cooperation with the firm named below, today announced a voluntary recall of the following consumer product. Consumers should stop using recalled products immediately unless otherwise instructed. It is illegal to resell or attempt to resell a recalled consumer product.","Gel that contains diethylene glycol and ethylene glycol can leak out of damaged freezer gel packs, posing a poisoning hazard if ingested by children or adults.",,,"Refund, Dispose","About 55,000",None,"Consumers should immediately stop using the gel packs and dispose of them according to federal, state and/or local regulations. It is recommended that consumers contact their local waste disposal authority for instructions. Consumers may return the gel pack to Walmart for a refund of $6 or contact California Innovations customer service at (800) 722-2545 for the same refund.","Sold At","Walmart between August 2008 to December 2011 for about $22.",,,,China,,
